refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency
0,1,0,24705,0.5546875,0.193359375,1,1,8,29,2,832.122924804688,276.824829101562,0,1,objects,big,0,1,faces,A,female,VS,I,1,E14,0.201171875
0,1,0,24706,0.783203125,0.474609375,2,1,10,37,3,935.551147460938,158.591094970703,0,1,faces,female,0,1,faces,A,female,VS,I,1,E14,0.201171875
0,1,0,24707,1.29296875,0.11328125,3,1,12,46,4,1050.18103027344,161.909484863281,0,1,faces,female,0,1,faces,A,female,VS,I,1,E14,0.201171875
0,1,0,24709,1.611328125,0.154296875,4,1,13,52,6,1068.77624511719,784.695434570312,0,1,faces,male,0,1,faces,A,female,VS,I,1,E14,0.201171875
0,1,0,24716,2.90234375,0.177734375,5,0,6,15,13,634.746887207031,681.936584472656,0,1,faces,male,0,1,faces,A,female,VS,I,1,E14,0.201171875
0,1,0,24718,3.271484375,0.18359375,6,0,2,4,15,515.938110351562,471.161773681641,0,1,objects,small,0,1,faces,A,female,VS,I,1,E14,0.201171875
0,1,1,24721,3.80078125,0.146484375,7,0,9,33,18,830.845764160156,674.437377929688,0,1,faces,female,0,1,faces,A,female,VS,I,1,E14,0.201171875
0,1,1,24742,0.21484375,0.109375,1,1,5,41,1,985.563415527344,558.392883300781,0,1,faces,male,1,1,objects,P,big,VS,O,2,E14,4.400390625
0,1,0,24745,0.69140625,0.173828125,2,1,3,25,4,778.880432128906,774.622192382812,0,1,objects,small,1,1,objects,P,big,VS,O,2,E14,4.400390625
0,1,0,24748,1.185546875,0.13671875,3,1,2,10,7,624.938537597656,115.462257385254,0,1,faces,male,1,1,objects,P,big,VS,O,2,E14,4.400390625
0,1,0,24749,1.396484375,0.16796875,4,1,12,65,8,1264.81909179688,276.54052734375,0,1,faces,male,1,1,objects,P,big,VS,O,2,E14,4.400390625
0,1,0,24751,1.74609375,0.14453125,5,0,14,76,10,1363.97412109375,469.632507324219,0,1,faces,male,1,1,objects,P,big,VS,O,2,E14,4.400390625
0,1,0,24753,2.060546875,0.171875,6,0,15,80,12,1385.74890136719,880.964904785156,0,1,objects,big,1,1,objects,P,big,VS,O,2,E14,4.400390625
0,0,0,24755,2.44140625,0.546875,7,0,11,58,14,1137.640625,472.986328125,1,0,NaN,NaN,1,1,objects,P,big,VS,O,2,E14,4.400390625
0,0,1,24756,3.04296875,0.1015625,8,0,6,42,15,949.417236328125,633.670593261719,0,1,faces,female,1,1,objects,P,big,VS,O,2,E14,4.400390625
0,0,1,24758,3.376953125,0.181640625,9,0,9,52,17,1027.98461914062,780.509094238281,0,1,faces,female,1,1,objects,P,big,VS,O,2,E14,4.400390625
0,0,0,24760,3.873046875,0.115234375,10,0,4,39,19,1005.71722412109,382.823150634766,0,1,faces,female,1,1,objects,P,big,VS,O,2,E14,4.400390625
1,1,1,24777,0.43359375,0.142578125,1,1,9,40,3,918.246154785156,449.670654296875,0,1,faces,male,0,0,faces,A,female,EX,F,3,E14,8.599609375
0,1,1,24779,0.8671875,0.107421875,2,1,1,4,5,558.734497070312,448.198913574219,0,1,objects,small,0,0,faces,A,female,EX,F,3,E14,8.599609375
0,1,1,24781,1.15625,0.1015625,3,1,14,76,7,1330.17590332031,475.134826660156,0,1,objects,big,0,0,faces,A,female,EX,F,3,E14,8.599609375
0,1,0,24784,1.755859375,0.16015625,4,1,10,56,10,1133.57531738281,259.357635498047,0,1,faces,male,0,0,faces,A,female,EX,F,3,E14,8.599609375
0,1,0,24786,2.1171875,0.28515625,5,0,3,10,12,612.366943359375,155.514556884766,0,1,faces,male,0,0,faces,A,female,EX,F,3,E14,8.599609375
0,1,0,24788,2.60546875,0.234375,6,0,2,5,14,524.221740722656,577.870666503906,0,1,objects,small,0,0,faces,A,female,EX,F,3,E14,8.599609375
0,1,1,24789,2.900390625,0.1171875,7,0,8,34,15,883.977661132812,710.161193847656,0,1,faces,female,0,0,faces,A,female,EX,F,3,E14,8.599609375
0,1,0,24792,3.453125,0.158203125,8,0,5,21,18,730.093872070312,367.424682617188,0,1,faces,male,0,0,faces,A,female,EX,F,3,E14,8.599609375
2,1,0,24793,3.640625,0.1640625,9,0,9,40,19,966.088745117188,459.897094726562,0,1,faces,male,0,0,faces,A,female,EX,F,3,E14,8.599609375
0,1,1,24815,0.298828125,0.12109375,1,1,3,13,1,651.430603027344,469.371643066406,0,1,faces,male,1,1,objects,P,small,VS,O,4,E14,12.798828125
1,0,1,24818,0.71875,0.255859375,2,1,5,39,4,960.753723144531,343.680236816406,1,0,NaN,NaN,1,1,objects,P,small,VS,O,4,E14,12.798828125
0,0,0,24822,3.181640625,0.29296875,3,1,12,58,8,1148.41870117188,468.982513427734,0,1,faces,female,1,1,objects,P,small,VS,O,4,E14,12.798828125
2,0,0,24823,3.501953125,0.603515625,4,1,5,39,9,936.159790039062,377.911773681641,1,0,NaN,NaN,1,1,objects,P,small,VS,O,4,E14,12.798828125
0,1,1,24843,0.31640625,0.11328125,1,1,10,40,3,927.435363769531,489.946746826172,0,1,faces,male,0,1,faces,A,male,EX,F,5,E14,16.998046875
0,1,0,24846,1.14453125,0.228515625,2,1,9,38,6,943.135681152344,271.312774658203,0,1,objects,small,0,1,faces,A,male,EX,F,5,E14,16.998046875
0,1,1,24847,1.443359375,0.12109375,3,1,13,69,7,1250.5673828125,593.582275390625,0,1,objects,small,0,1,faces,A,male,EX,F,5,E14,16.998046875
0,1,0,24849,1.716796875,0.17578125,4,1,12,68,9,1271.87878417969,562.766906738281,0,1,faces,male,0,1,faces,A,male,EX,F,5,E14,16.998046875
0,1,0,24851,2.083984375,0.267578125,5,0,14,73,11,1357.55224609375,158.617080688477,0,1,faces,female,0,1,faces,A,male,EX,F,5,E14,16.998046875
0,1,1,24852,2.43359375,0.103515625,6,0,2,13,12,657.965454101562,483.088012695312,0,1,objects,small,0,1,faces,A,male,EX,F,5,E14,16.998046875
0,1,0,24854,2.6875,0.201171875,7,0,1,12,14,615.143432617188,357.899322509766,0,1,faces,female,0,1,faces,A,male,EX,F,5,E14,16.998046875
0,1,1,24855,2.912109375,0.150390625,8,0,4,22,15,726.507446289062,445.408020019531,0,1,faces,male,0,1,faces,A,male,EX,F,5,E14,16.998046875
1,1,0,24857,3.333984375,0.13671875,9,0,6,27,17,733.691772460938,922.697448730469,0,1,faces,female,0,1,faces,A,male,EX,F,5,E14,16.998046875
0,1,0,24858,3.48828125,0.26953125,10,0,5,26,18,742.305969238281,875.643798828125,0,1,faces,female,0,1,faces,A,male,EX,F,5,E14,16.998046875
2,1,0,24859,3.791015625,0.205078125,11,0,6,27,19,748.872314453125,983.518310546875,0,1,faces,female,0,1,faces,A,male,EX,F,5,E14,16.998046875
1,1,1,24881,0.333984375,0.119140625,1,1,6,29,2,901.115173339844,286.96826171875,0,1,faces,male,0,0,faces,P,male,VS,I,6,E14,21.197265625
0,1,1,24883,0.712890625,0.126953125,2,1,9,48,4,1018.25085449219,371.719146728516,0,1,faces,male,0,0,faces,P,male,VS,I,6,E14,21.197265625
