refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency
0,1,1,26394,0.587890625,0.455078125,1,1,9,40,2,955.69677734375,483.036071777344,0,1,faces,male,1,0,faces,P,male,VS,I,1,J04,0.201171875
0,1,1,26399,2.34375,0.140625,2,1,6,34,7,846.112915039062,705.868713378906,1,0,NaN,NaN,1,0,faces,P,male,VS,I,1,J04,0.201171875
0,0,0,26402,3.857421875,0.1875,3,1,13,66,10,1292.14514160156,372.499969482422,0,1,objects,big,1,0,faces,P,male,VS,I,1,J04,0.201171875
0,1,0,26426,0.37109375,0.14453125,1,1,7,49,2,1016.88110351562,487.843109130859,0,1,objects,big,0,0,faces,A,female,EX,F,2,J04,4.400390625
0,1,0,26427,0.54296875,0.263671875,2,1,5,32,3,868.442138671875,549.689025878906,0,1,faces,male,0,0,faces,A,female,EX,F,2,J04,4.400390625
0,1,0,26429,1.07421875,0.45703125,3,1,4,30,5,888.219665527344,326.173278808594,0,1,faces,female,0,0,faces,A,female,EX,F,2,J04,4.400390625
0,1,0,26431,1.708984375,0.208984375,4,1,2,18,7,683.5234375,898.741821289062,0,1,faces,male,0,0,faces,A,female,EX,F,2,J04,4.400390625
0,1,0,26433,2.19140625,0.2890625,5,0,14,72,9,1282.48974609375,926.229736328125,0,1,faces,male,0,0,faces,A,female,EX,F,2,J04,4.400390625
0,1,0,26434,2.4921875,0.353515625,6,0,9,63,10,1201.32507324219,908.290588378906,0,1,faces,female,0,0,faces,A,female,EX,F,2,J04,4.400390625
0,1,0,26439,3.4921875,0.150390625,7,0,8,58,15,1165.15832519531,456.360504150391,0,1,faces,male,0,0,faces,A,female,EX,F,2,J04,4.400390625
0,1,0,26440,3.66015625,0.173828125,8,0,10,64,16,1306.80969238281,181.574111938477,0,1,faces,male,0,0,faces,A,female,EX,F,2,J04,4.400390625
0,1,0,26441,3.841796875,0.18359375,9,0,15,73,17,1349.58288574219,148.01220703125,0,1,faces,female,0,0,faces,A,female,EX,F,2,J04,4.400390625
0,1,0,26458,0.201171875,0.18359375,1,1,9,50,1,1014.27130126953,556.678039550781,0,1,objects,big,0,0,faces,P,female,VS,I,3,J04,8.599609375
0,1,1,26459,0.396484375,0.142578125,2,1,5,41,2,965.401977539062,573.7587890625,0,1,faces,male,0,0,faces,P,female,VS,I,3,J04,8.599609375
0,1,0,26461,0.8671875,0.416015625,3,1,2,23,4,767.528625488281,537.078918457031,0,1,faces,female,0,0,faces,P,female,VS,I,3,J04,8.599609375
0,1,0,26463,1.48828125,0.5703125,4,1,4,37,6,965.33837890625,173.722366333008,0,1,faces,female,0,0,faces,P,female,VS,I,3,J04,8.599609375
0,1,0,26464,2.080078125,0.60546875,5,0,10,55,7,1177.37756347656,160.814361572266,0,1,faces,female,0,0,faces,P,female,VS,I,3,J04,8.599609375
0,1,1,26465,2.705078125,0.326171875,6,0,11,58,8,1152.97583007812,477.038696289062,0,1,faces,male,0,0,faces,P,female,VS,I,3,J04,8.599609375
0,1,0,26469,3.916015625,0.142578125,7,0,6,43,12,952.214477539062,751.118713378906,0,1,faces,female,0,0,faces,P,female,VS,I,3,J04,8.599609375
0,1,0,26494,0.357421875,0.291015625,1,1,1,5,3,596.079895019531,536.891906738281,0,1,objects,small,0,0,faces,A,male,EX,I,4,J04,12.798828125
0,1,1,26495,0.658203125,0.205078125,2,1,2,14,4,637.433654785156,503.87939453125,0,1,faces,male,0,0,faces,A,male,EX,I,4,J04,12.798828125
0,1,1,26497,1.267578125,0.16015625,3,1,5,35,6,849.030700683594,815.169860839844,0,1,objects,big,0,0,faces,A,male,EX,I,4,J04,12.798828125
0,1,0,26499,1.88671875,0.13671875,4,1,13,71,8,1234.28076171875,792.514770507812,0,1,faces,male,0,0,faces,A,male,EX,I,4,J04,12.798828125
0,1,0,26502,2.42578125,0.244140625,5,0,8,53,11,1100.10876464844,825.875,0,1,faces,female,0,0,faces,A,male,EX,I,4,J04,12.798828125
0,1,0,26504,3.021484375,0.419921875,6,0,12,67,13,1226.37524414062,408.616943359375,0,1,faces,female,0,0,faces,A,male,EX,I,4,J04,12.798828125
0,1,0,26506,3.77734375,0.189453125,7,0,14,75,15,1309.77990722656,332.788238525391,0,1,objects,big,0,0,faces,A,male,EX,I,4,J04,12.798828125
1,1,0,26522,0.275390625,0.224609375,1,1,8,40,2,916.710998535156,460.722137451172,0,1,faces,male,0,0,faces,A,male,EX,F,5,J04,16.998046875
1,1,0,26523,0.5234375,0.205078125,2,1,2,13,3,684.745788574219,449.719116210938,0,1,faces,male,0,0,faces,A,male,EX,F,5,J04,16.998046875
0,1,0,26524,0.806640625,0.376953125,3,1,1,2,4,558.730712890625,238.536026000977,0,1,objects,big,0,0,faces,A,male,EX,F,5,J04,16.998046875
0,1,0,26525,1.216796875,0.37890625,4,1,4,19,5,750.251525878906,146.439468383789,0,1,faces,male,0,0,faces,A,male,EX,F,5,J04,16.998046875
0,1,0,26526,1.638671875,0.46484375,5,0,12,64,6,1265.39013671875,147.917144775391,0,1,faces,female,0,0,faces,A,male,EX,F,5,J04,16.998046875
0,1,0,26527,2.150390625,0.185546875,6,0,6,30,7,876.599975585938,372.863494873047,0,1,objects,big,0,0,faces,A,male,EX,F,5,J04,16.998046875
2,1,0,26528,2.3515625,0.271484375,7,0,8,40,8,969.906921386719,474.054626464844,0,1,faces,male,0,0,faces,A,male,EX,F,5,J04,16.998046875
2,1,0,26529,2.654296875,0.390625,8,0,2,13,9,670.545471191406,464.878204345703,0,1,faces,male,0,0,faces,A,male,EX,F,5,J04,16.998046875
0,1,1,26530,3.060546875,0.17578125,9,0,7,32,10,821.077575683594,543.599243164062,0,1,faces,female,0,0,faces,A,male,EX,F,5,J04,16.998046875
0,1,0,26534,3.91015625,0.369140625,10,0,15,78,14,1384.74963378906,615.592468261719,0,1,faces,female,0,0,faces,A,male,EX,F,5,J04,16.998046875
0,1,0,26547,0.193359375,0.185546875,1,1,10,41,1,917.646606445312,495.694732666016,0,1,objects,small,0,1,faces,A,female,EX,I,6,J04,21.197265625
0,1,0,26549,0.966796875,0.349609375,2,1,3,13,3,644.395690917969,424.436370849609,0,1,faces,female,0,1,faces,A,female,EX,I,6,J04,21.197265625
0,1,0,26550,1.328125,0.28125,3,1,2,12,4,660.0380859375,342.228302001953,0,1,faces,female,0,1,faces,A,female,EX,I,6,J04,21.197265625
0,1,0,26552,1.818359375,0.337890625,4,1,11,52,6,1062.7666015625,770.521118164062,0,1,faces,female,0,1,faces,A,female,EX,I,6,J04,21.197265625
0,1,0,26554,2.33203125,0.48046875,5,0,9,36,8,852.362121582031,917.263244628906,0,1,objects,big,0,1,faces,A,female,EX,I,6,J04,21.197265625
0,1,0,26555,2.826171875,0.5546875,6,0,7,26,9,745.700256347656,797.430908203125,0,1,faces,male,0,1,faces,A,female,EX,I,6,J04,21.197265625
0,1,0,26556,3.42578125,0.140625,7,0,14,69,10,1288.99365234375,687.954162597656,0,1,faces,male,0,1,faces,A,female,EX,I,6,J04,21.197265625
0,1,0,26566,0.341796875,0.15625,1,1,7,32,2,861.727844238281,503.806976318359,0,1,objects,big,1,0,faces,P,male,VS,F,7,J04,25.396484375
0,1,0,26567,0.517578125,0.240234375,2,1,10,51,3,1053.78137207031,616.76708984375,0,1,faces,female,1,0,faces,P,male,VS,F,7,J04,25.396484375
0,1,0,26570,1.169921875,0.23046875,3,1,4,21,6,737.460327148438,345.574920654297,0,1,faces,female,1,0,faces,P,male,VS,F,7,J04,25.396484375
1,0,0,26571,1.439453125,0.220703125,4,1,9,46,7,1084.0146484375,152.434509277344,1,0,NaN,NaN,1,0,faces,P,male,VS,F,7,J04,25.396484375
0,0,0,26572,1.697265625,0.1875,5,0,14,73,8,1362.58972167969,148.002487182617,0,1,faces,male,1,0,faces,P,male,VS,F,7,J04,25.396484375
