refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency,NTF_NTO
0,1.0,0,23231,1.0390625,0.138671875,2.0,1.0,8,47,5,1057.07434082031,247.931503295898,0,1,faces,male,1,1,objects,P,big,VS,O,2,E01,4.400390625,1
0,1.0,1,23232,1.240234375,0.119140625,3.0,1.0,13,66,6,1257.83056640625,296.270446777344,0,1,objects,small,1,1,objects,P,big,VS,O,2,E01,4.400390625,0
0,1.0,0,23236,1.978515625,0.126953125,5.0,0.0,6,42,10,946.085388183594,658.045654296875,0,1,faces,female,1,1,objects,P,big,VS,O,2,E01,4.400390625,1
0,1.0,0,23277,0.6484375,0.26953125,2.0,1.0,9,55,3,1180.07849121094,184.82373046875,0,1,faces,male,1,1,objects,P,small,VS,O,4,E01,12.798828125,1
0,1.0,0,23278,0.9375,0.125,3.0,1.0,10,56,4,1159.45556640625,191.059768676758,0,1,objects,small,1,1,objects,P,small,VS,O,4,E01,12.798828125,0
0,1.0,1,23279,1.109375,0.162109375,4.0,1.0,8,47,5,1093.4130859375,274.922119140625,0,1,objects,big,1,1,objects,P,small,VS,O,4,E01,12.798828125,0
0,1.0,1,23324,0.705078125,0.201171875,2.0,1.0,6,29,3,860.457824707031,246.168701171875,0,1,faces,male,1,1,faces,P,male,VS,I,6,E01,21.197265625,1
0,1.0,0,23451,0.650390625,0.208984375,2.0,1.0,8,39,3,970.197814941406,349.411865234375,0,1,faces,female,1,1,faces,P,female,VS,I,11,E01,42.193359375,1
0,1.0,0,23454,2.546875,0.22265625,4.0,1.0,2,15,6,651.507019042969,624.505432128906,0,1,faces,female,1,1,faces,P,female,VS,I,11,E01,42.193359375,1
0,1.0,0,23501,0.494140625,0.23828125,2.0,1.0,7,36,2,836.276062011719,914.621887207031,0,1,faces,female,1,1,faces,P,female,VS,I,13,E01,50.591796875,1
0,1.0,0,23502,0.791015625,0.21875,3.0,1.0,10,45,3,975.994323730469,924.290161132812,0,1,faces,male,1,1,faces,P,female,VS,I,13,E01,50.591796875,1
0,1.0,0,23504,1.1640625,0.232421875,4.0,1.0,14,70,5,1257.38354492188,733.79736328125,0,1,faces,male,1,1,faces,P,female,VS,I,13,E01,50.591796875,1
0,1.0,1,23505,1.470703125,0.125,5.0,0.0,9,41,6,991.379638671875,574.542663574219,0,1,faces,male,1,1,faces,P,female,VS,I,13,E01,50.591796875,1
0,1.0,0,23507,1.748046875,0.205078125,6.0,0.0,6,31,8,823.977783203125,453.493743896484,0,1,faces,male,1,1,faces,P,female,VS,I,13,E01,50.591796875,1
0,1.0,0,23508,1.9921875,0.154296875,7.0,0.0,5,22,9,745.563171386719,443.23046875,0,1,faces,male,1,1,faces,P,female,VS,I,13,E01,50.591796875,1
0,1.0,0,23583,0.53125,0.130859375,2.0,1.0,5,19,2,727.278015136719,161.494171142578,0,1,objects,big,1,1,faces,P,female,VS,F,16,E01,63.189453125,0
0,1.0,0,23584,0.751953125,0.185546875,3.0,1.0,9,42,3,918.923583984375,620.752685546875,0,1,faces,male,1,1,faces,P,female,VS,F,16,E01,63.189453125,1
0,1.0,0,23587,1.453125,0.138671875,5.0,0.0,15,78,6,1372.40673828125,629.021423339844,0,1,faces,male,1,1,faces,P,female,VS,F,16,E01,63.189453125,1
0,1.0,0,23631,0.9140625,0.232421875,2.0,1.0,14,65,5,1306.125,260.96142578125,0,1,faces,female,1,1,faces,P,female,VS,F,18,E01,71.587890625,1
0,1.0,0,23632,1.21484375,0.1953125,3.0,1.0,10,48,6,1050.69494628906,333.514739990234,0,1,faces,female,1,1,faces,P,female,VS,F,18,E01,71.587890625,1
0,1.0,0,23633,1.478515625,0.212890625,4.0,1.0,9,41,7,983.602722167969,521.846862792969,0,1,faces,male,1,1,faces,P,female,VS,F,18,E01,71.587890625,1
0,1.0,0,23634,1.7578125,0.1484375,5.0,0.0,6,24,8,803.429565429688,608.787231445312,0,1,objects,big,1,1,faces,P,female,VS,F,18,E01,71.587890625,0
0,1.0,1,23636,2.025390625,0.203125,6.0,0.0,2,14,10,656.049682617188,494.143188476562,0,1,faces,female,1,1,faces,P,female,VS,F,18,E01,71.587890625,1
0,1.0,0,23638,2.421875,0.154296875,7.0,0.0,7,26,12,743.507019042969,868.391235351562,0,1,faces,female,1,1,faces,P,female,VS,F,18,E01,71.587890625,1
0,1.0,0,23705,0.537109375,0.240234375,2.0,1.0,4,25,2,753.032287597656,731.374877929688,0,1,faces,female,1,1,objects,P,small,VS,O,21,E01,84.185546875,1
0,1.0,0,23706,0.82421875,0.119140625,3.0,1.0,3,24,3,734.439514160156,640.049865722656,0,1,faces,male,1,1,objects,P,small,VS,O,21,E01,84.185546875,1
0,1.0,0,23707,1.01953125,0.12890625,4.0,1.0,15,79,4,1324.09484863281,695.42529296875,0,1,faces,male,1,1,objects,P,small,VS,O,21,E01,84.185546875,1
0,1.0,0,23709,1.453125,0.134765625,5.0,0.0,9,40,6,950.002746582031,426.230041503906,0,1,objects,small,1,1,objects,P,small,VS,O,21,E01,84.185546875,0
1,1.0,1,23807,0.814453125,0.119140625,2.0,1.0,6,47,4,1090.47058105469,240.108535766602,0,1,faces,male,1,1,faces,P,female,VS,F,25,E01,100.982421875,1
0,1.0,0,23811,1.470703125,0.15625,4.0,1.0,12,68,8,1275.54919433594,581.028076171875,0,1,faces,female,1,1,faces,P,female,VS,F,25,E01,100.982421875,1
1,1.0,0,23815,2.234375,0.259765625,6.0,0.0,8,53,12,1073.88806152344,852.162353515625,0,1,faces,male,1,1,faces,P,female,VS,F,25,E01,100.982421875,1
0,1.0,0,23816,2.55859375,0.197265625,7.0,0.0,13,71,13,1257.73193359375,851.126403808594,0,1,faces,female,1,1,faces,P,female,VS,F,25,E01,100.982421875,1
0,1.0,0,23818,2.95703125,0.123046875,9.0,0.0,7,52,15,1057.81115722656,770.4609375,0,1,objects,big,1,1,faces,P,female,VS,F,25,E01,100.982421875,0
0,1.0,1,23933,0.451171875,0.138671875,2.0,1.0,6,37,2,927.962280273438,176.381805419922,0,1,faces,female,1,1,faces,P,male,VS,I,29,E01,117.779296875,1
0,1.0,0,23935,0.763671875,0.173828125,3.0,1.0,9,55,4,1199.55114746094,180.002426147461,0,1,faces,male,1,1,faces,P,male,VS,I,29,E01,117.779296875,1
0,1.0,0,23936,0.998046875,0.1953125,4.0,1.0,13,74,5,1336.04064941406,276.612548828125,0,1,faces,male,1,1,faces,P,male,VS,I,29,E01,117.779296875,1
0,1.0,0,23937,1.2421875,0.125,5.0,0.0,14,75,6,1392.00866699219,378.409729003906,0,1,objects,big,1,1,faces,P,male,VS,I,29,E01,117.779296875,0
0,1.0,0,23938,1.443359375,0.107421875,6.0,0.0,8,48,7,1059.40600585938,374.208923339844,0,1,faces,female,1,1,faces,P,male,VS,I,29,E01,117.779296875,1
0,1.0,0,23939,1.6171875,0.19921875,7.0,0.0,3,22,8,791.37841796875,451.220367431641,0,1,objects,small,1,1,faces,P,male,VS,I,29,E01,117.779296875,0
0,1.0,0,23940,1.861328125,0.138671875,8.0,0.0,4,32,9,879.199462890625,544.513061523438,0,1,objects,small,1,1,faces,P,male,VS,I,29,E01,117.779296875,0
0,1.0,0,23941,2.05859375,0.189453125,9.0,0.0,5,34,10,812.257751464844,723.930358886719,0,1,faces,male,1,1,faces,P,male,VS,I,29,E01,117.779296875,1
0,1.0,0,23942,2.306640625,0.26171875,10.0,0.0,2,16,11,651.463256835938,748.50146484375,0,1,faces,male,1,1,faces,P,male,VS,I,29,E01,117.779296875,1
0,1.0,0,23943,2.640625,0.236328125,11.0,0.0,7,42,12,959.244750976562,639.0673828125,0,1,faces,female,1,1,faces,P,male,VS,I,29,E01,117.779296875,1
0,1.0,0,23944,2.9453125,0.13671875,12.0,0.0,12,70,13,1261.6552734375,735.941467285156,0,1,objects,big,1,1,faces,P,male,VS,I,29,E01,117.779296875,0
0,1.0,0,23945,3.134765625,0.140625,13.0,0.0,11,68,14,1262.39538574219,555.264465332031,0,1,objects,big,1,1,faces,P,male,VS,I,29,E01,117.779296875,0
0,1.0,0,24012,0.658203125,0.205078125,2.0,1.0,11,65,4,1310.43896484375,281.281890869141,0,1,objects,small,1,1,objects,P,small,VS,O,32,E01,130.376953125,0
0,1.0,0,24242,1.35546875,0.109375,3.0,1.0,14,69,6,1283.59777832031,629.944213867188,0,1,faces,female,1,1,faces,P,female,VS,F,41,E01,168.169921875,1
0,1.0,0,24265,1.375,0.158203125,3.0,1.0,13,74,6,1339.47509765625,217.675369262695,0,1,faces,female,1,1,faces,P,female,VS,I,42,E01,172.369140625,1
0,1.0,0,24300,0.611328125,0.107421875,2.0,1.0,14,75,2,1353.90686035156,304.319000244141,0,1,faces,male,1,1,objects,P,big,VS,O,44,E01,180.767578125,1
0,1.0,0,24301,0.736328125,0.1015625,3.0,1.0,13,74,3,1371.01342773438,283.442687988281,0,1,faces,female,1,1,objects,P,big,VS,O,44,E01,180.767578125,1
0,1.0,0,24303,1.11328125,0.162109375,4.0,1.0,4,22,5,747.702209472656,447.280364990234,0,1,objects,small,1,1,objects,P,big,VS,O,44,E01,180.767578125,0
0,1.0,0,24427,1.107421875,0.501953125,2.0,1.0,6,24,3,759.810119628906,644.431945800781,0,1,faces,male,1,1,faces,P,male,VS,F,49,E01,201.763671875,1
0,1.0,1,24428,1.666015625,0.173828125,3.0,1.0,4,17,4,699.128967285156,862.157287597656,0,1,faces,female,1,1,faces,P,male,VS,F,49,E01,201.763671875,1
0,1.0,0,24431,2.205078125,0.1875,4.0,1.0,8,34,7,861.879821777344,733.322326660156,0,1,objects,big,1,1,faces,P,male,VS,F,49,E01,201.763671875,0
0,1.0,0,24432,2.462890625,0.26171875,5.0,0.0,11,60,8,1174.16564941406,592.690612792969,0,1,faces,female,1,1,faces,P,male,VS,F,49,E01,201.763671875,1
0,1.0,0,24500,0.69140625,0.12890625,2.0,1.0,9,49,4,1088.83044433594,450.209747314453,0,1,faces,female,1,1,faces,P,female,VS,I,52,E01,214.361328125,1
0,1.0,0,24577,0.5390625,0.36328125,2.0,1.0,13,56,2,1177.07690429688,244.857757568359,0,1,objects,small,1,1,objects,P,small,VS,O,55,E01,226.958984375,0
0,1.0,0,24599,1.09765625,0.1875,2.0,1.0,10,58,3,1141.20251464844,479.136810302734,0,1,faces,male,1,1,objects,P,big,VS,O,56,E01,231.158203125,1
0,1.0,0,24600,1.353515625,0.224609375,3.0,1.0,7,42,4,999.66650390625,628.956787109375,0,1,objects,small,1,1,objects,P,big,VS,O,56,E01,231.158203125,0
0,1.0,0,24601,1.625,0.171875,4.0,1.0,11,60,5,1178.12170410156,627.736511230469,0,1,objects,big,1,1,objects,P,big,VS,O,56,E01,231.158203125,0
0,1.0,0,24602,1.873046875,0.267578125,5.0,0.0,2,15,6,624.904479980469,657.756713867188,0,1,objects,small,1,1,objects,P,big,VS,O,56,E01,231.158203125,0
0,1.0,0,24603,2.23046875,0.22265625,6.0,0.0,8,52,7,1099.73718261719,760.257995605469,0,1,objects,small,1,1,objects,P,big,VS,O,56,E01,231.158203125,0
0,1.0,0,24604,2.515625,0.177734375,7.0,0.0,13,71,8,1286.58728027344,838.879699707031,0,1,faces,female,1,1,objects,P,big,VS,O,56,E01,231.158203125,1
0,1.0,0,24806,1.083984375,0.251953125,2.0,1.0,11,55,5,1188.27416992188,174.363555908203,0,1,faces,female,1,1,faces,P,male,VS,F,64,E01,264.751953125,1
0,1.0,0,24807,1.37890625,0.126953125,3.0,1.0,13,64,6,1282.58129882812,179.22395324707,0,1,faces,female,1,1,faces,P,male,VS,F,64,E01,264.751953125,1
0,1.0,1,24885,0.99609375,0.16796875,2.0,1.0,12,66,3,1306.92932128906,333.741424560547,0,1,faces,male,1,1,faces,P,male,VS,F,67,E01,277.349609375,1
0,1.0,0,24887,1.38671875,0.23046875,3.0,1.0,3,23,5,737.35498046875,516.80224609375,0,1,objects,small,1,1,faces,P,male,VS,F,67,E01,277.349609375,0
0,1.0,0,24888,1.673828125,0.1328125,4.0,1.0,7,50,6,1032.78125,525.287109375,0,1,objects,big,1,1,faces,P,male,VS,F,67,E01,277.349609375,0
0,1.0,1,24889,1.908203125,0.119140625,5.0,0.0,1,2,7,575.541442871094,289.832977294922,0,1,faces,female,1,1,faces,P,male,VS,F,67,E01,277.349609375,1
0,1.0,0,24892,2.587890625,0.291015625,6.0,0.0,8,52,10,1058.1748046875,712.161926269531,0,1,faces,male,1,1,faces,P,male,VS,F,67,E01,277.349609375,1
0,1.0,0,24893,2.951171875,0.287109375,7.0,0.0,4,25,11,783.363586425781,732.798156738281,0,1,faces,female,1,1,faces,P,male,VS,F,67,E01,277.349609375,1
0,1.0,0,25029,1.25,0.185546875,2.0,1.0,5,31,5,907.6494140625,449.379577636719,0,1,faces,female,1,1,faces,P,male,VS,I,72,E01,298.345703125,1
0,1.0,0,25321,0.47265625,0.26171875,2.0,1.0,3,10,3,644.225769042969,174.7392578125,0,1,faces,male,1,1,faces,P,female,VS,F,76,E01,315.142578125,1
0,1.0,0,25322,0.845703125,0.2421875,3.0,1.0,13,73,4,1336.42272949219,188.365142822266,0,1,faces,male,1,1,faces,P,female,VS,F,76,E01,315.142578125,1
0,1.0,0,25324,1.462890625,0.24609375,5.0,0.0,4,12,6,644.184814453125,345.332092285156,0,1,objects,small,1,1,faces,P,female,VS,F,76,E01,315.142578125,0
0,1.0,0,25325,1.767578125,0.2890625,6.0,0.0,2,5,7,547.527954101562,553.799011230469,0,1,faces,male,1,1,faces,P,female,VS,F,76,E01,315.142578125,1
0,1.0,0,25326,2.107421875,0.2109375,7.0,0.0,6,23,8,742.960693359375,555.971252441406,0,1,faces,male,1,1,faces,P,female,VS,F,76,E01,315.142578125,1
0,1.0,0,25327,2.361328125,0.255859375,8.0,0.0,8,33,9,855.112670898438,630.753295898438,0,1,faces,female,1,1,faces,P,female,VS,F,76,E01,315.142578125,1
0,1.0,0,25397,0.634765625,0.259765625,2.0,1.0,10,57,2,1168.78063964844,339.539581298828,0,1,faces,female,1,1,objects,P,small,VS,O,79,E01,327.740234375,1
0,1.0,0,25398,0.939453125,0.291015625,3.0,1.0,9,49,3,1110.05383300781,417.940612792969,0,1,faces,male,1,1,objects,P,small,VS,O,79,E01,327.740234375,1
0,1.0,0,25400,1.544921875,0.12109375,5.0,0.0,1,8,5,582.695068359375,811.261291503906,0,1,faces,male,1,1,objects,P,small,VS,O,79,E01,327.740234375,1
0,1.0,1,25421,1.27734375,0.150390625,2.0,1.0,11,56,5,1132.85607910156,233.787033081055,0,1,faces,male,1,1,objects,P,big,VS,O,80,E01,331.939453125,1
0,1.0,0,25562,0.642578125,0.181640625,2.0,1.0,7,28,3,837.283325195312,177.401565551758,0,1,faces,female,1,1,faces,P,female,VS,I,85,E01,352.935546875,1
0,1.0,0,25563,0.919921875,0.302734375,3.0,1.0,1,2,4,583.384399414062,238.555419921875,0,1,faces,female,1,1,faces,P,female,VS,I,85,E01,352.935546875,1
0,1.0,0,25739,0.576171875,0.251953125,2.0,1.0,12,65,4,1288.14086914062,274.851623535156,0,1,faces,female,1,1,faces,P,male,VS,F,91,E01,378.130859375,1
0,1.0,1,25882,1.001953125,0.115234375,2.0,1.0,7,48,3,1057.10620117188,290.988800048828,0,1,faces,female,1,1,faces,P,female,VS,I,96,E01,399.126953125,1
0,1.0,0,25884,1.55078125,0.185546875,3.0,1.0,10,58,5,1157.654296875,449.244750976562,0,1,faces,male,1,1,faces,P,female,VS,I,96,E01,399.126953125,1
0,1.0,0,25932,0.76953125,0.193359375,2.0,1.0,12,76,3,1385.90087890625,465.8408203125,0,1,faces,male,1,1,faces,P,male,VS,F,98,E01,407.525390625,1
0,1.0,0,25933,1.0625,0.16796875,3.0,1.0,2,10,4,680.783447265625,173.486480712891,0,1,faces,female,1,1,faces,P,male,VS,F,98,E01,407.525390625,1
0,1.0,0,25935,1.46484375,0.193359375,4.0,1.0,14,79,6,1394.15637207031,732.377746582031,0,1,faces,female,1,1,faces,P,male,VS,F,98,E01,407.525390625,1
0,1.0,0,25936,1.701171875,0.1953125,5.0,0.0,10,71,7,1309.2353515625,841.721435546875,0,1,faces,female,1,1,faces,P,male,VS,F,98,E01,407.525390625,1
0,1.0,0,26031,0.521484375,0.248046875,2.0,1.0,2,10,2,673.330871582031,169.098541259766,0,1,faces,male,1,1,faces,P,female,VS,I,102,E01,424.322265625,1
0,1.0,0,26032,0.8125,0.134765625,3.0,1.0,1,1,3,578.214111328125,154.82666015625,0,1,objects,big,1,1,faces,P,female,VS,I,102,E01,424.322265625,0
0,1.0,0,26033,0.9921875,0.28125,4.0,1.0,3,11,4,678.857177734375,258.474578857422,0,1,faces,female,1,1,faces,P,female,VS,I,102,E01,424.322265625,1
0,1.0,0,26034,1.318359375,0.275390625,5.0,0.0,5,21,5,803.272827148438,360.571228027344,0,1,objects,big,1,1,faces,P,female,VS,I,102,E01,424.322265625,0
0,1.0,0,26037,2.078125,0.18359375,6.0,0.0,13,61,8,1163.60632324219,741.0703125,0,1,objects,small,1,1,faces,P,female,VS,I,102,E01,424.322265625,0
0,1.0,0,26051,0.76171875,0.109375,2.0,1.0,13,75,3,1386.53735351562,306.834014892578,0,1,objects,big,1,1,objects,P,big,VS,O,103,E01,428.521484375,0
0,1.0,0,26052,0.900390625,0.216796875,3.0,1.0,12,74,4,1374.36694335938,278.625854492188,0,1,objects,small,1,1,objects,P,big,VS,O,103,E01,428.521484375,0
0,1.0,0,26053,1.171875,0.169921875,4.0,1.0,11,67,5,1229.59765625,419.624206542969,0,1,faces,female,1,1,objects,P,big,VS,O,103,E01,428.521484375,1
0,1.0,0,26054,1.384765625,0.25390625,5.0,0.0,7,49,6,1081.44702148438,442.461822509766,0,1,faces,female,1,1,objects,P,big,VS,O,103,E01,428.521484375,1
