refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency,VSNTpre_VSNTpost
0,0.0,0,23205,0.728515625,0.2109375,2.0,1.0,10,37,3,931.817810058594,173.893768310547,0,1,faces,female,0,1,faces,A,female,VS,I,1,E01,0.201171875,0
0,0.0,0,23206,0.978515625,0.283203125,3.0,1.0,12,46,4,1039.55004882812,174.363265991211,0,1,faces,female,0,1,faces,A,female,VS,I,1,E01,0.201171875,0
0,0.0,0,23207,1.328125,0.119140625,4.0,1.0,8,29,5,847.283508300781,264.328094482422,0,1,objects,big,0,1,faces,A,female,VS,I,1,E01,0.201171875,0
0,0.0,1,23208,1.525390625,0.125,5.0,0.0,2,4,6,578.883605957031,470.820007324219,0,1,objects,small,0,1,faces,A,female,VS,I,1,E01,0.201171875,0
0,0.0,0,23210,1.849609375,0.1875,6.0,0.0,3,6,8,537.387268066406,657.476989746094,0,1,faces,male,0,1,faces,A,female,VS,I,1,E01,0.201171875,0
0,0.0,0,23211,2.12109375,0.32421875,7.0,0.0,5,14,9,630.10888671875,566.516174316406,0,1,faces,female,0,1,faces,A,female,VS,I,1,E01,0.201171875,0
0,0.0,0,23212,2.51171875,0.181640625,8.0,0.0,9,33,10,843.626159667969,640.465576171875,0,1,faces,female,0,1,faces,A,female,VS,I,1,E01,0.201171875,0
0,0.0,0,23213,2.755859375,0.162109375,9.0,0.0,6,15,11,659.109191894531,663.839721679688,0,1,faces,male,0,1,faces,A,female,VS,I,1,E01,0.201171875,0
0,0.0,0,23214,2.986328125,0.1796875,10.0,0.0,7,17,12,642.648620605469,851.225952148438,0,1,faces,male,0,1,faces,A,female,VS,I,1,E01,0.201171875,0
0,0.0,0,23215,3.234375,0.248046875,11.0,0.0,11,45,13,947.062744140625,938.388244628906,0,1,faces,male,0,1,faces,A,female,VS,I,1,E01,0.201171875,0
