refix,pretarget,multifix,urevent,tonset,dur_added,rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency,VSNT_EX,VSNT_EX_correct,VSeasy_EXobj_correct
1,0.0,0,23248,0.609375,0.14453125,1.0,4,12,2,636.475891113281,349.615234375,0,1,objects,big,0,1,faces,A,female,EX,F,3,E01,8.599609375,0.0,0.0,0.0
2,0.0,1,23251,1.435546875,0.171875,4.0,4,12,5,677.897827148438,356.753265380859,0,1,objects,big,0,1,faces,A,female,EX,F,3,E01,8.599609375,0.0,0.0,0.0
0,0.0,0,23253,1.8515625,0.126953125,5.0,1,4,7,540.394409179688,481.721649169922,0,1,objects,small,0,1,faces,A,female,EX,F,3,E01,8.599609375,0.0,0.0,0.0
0,0.0,0,23254,2.01953125,0.244140625,6.0,2,5,8,537.822387695312,560.971984863281,0,1,objects,small,0,1,faces,A,female,EX,F,3,E01,8.599609375,0.0,0.0,0.0
0,0.0,1,23259,3.314453125,0.169921875,10.0,12,69,13,1294.50366210938,644.347717285156,0,1,objects,small,0,1,faces,A,female,EX,F,3,E01,8.599609375,0.0,0.0,0.0
0,0.0,1,23296,0.47265625,0.263671875,2.0,3,19,2,739.864807128906,150.002990722656,0,1,objects,big,0,1,faces,A,male,EX,F,5,E01,16.998046875,0.0,0.0,0.0
0,0.0,0,23299,1.1640625,0.1796875,4.0,9,38,5,949.720092773438,260.298614501953,0,1,objects,small,0,1,faces,A,male,EX,F,5,E01,16.998046875,0.0,0.0,0.0
0,0.0,1,23304,2.4375,0.197265625,8.0,13,69,10,1264.61804199219,607.870300292969,0,1,objects,small,0,1,faces,A,male,EX,F,5,E01,16.998046875,0.0,0.0,0.0
0,0.0,0,23309,3.84375,0.158203125,11.0,15,75,15,1343.31774902344,346.220092773438,0,1,objects,big,0,1,faces,A,male,EX,F,5,E01,16.998046875,0.0,0.0,0.0
0,1.0,1,23322,0.33984375,0.130859375,1.0,1,3,1,544.145629882812,389.453735351562,0,1,objects,big,1,1,faces,P,male,VS,I,6,E01,21.197265625,1.0,1.0,1.0
1,0.0,0,23387,0.3046875,0.111328125,1.0,2,5,1,586.916076660156,524.582580566406,0,1,objects,small,0,1,faces,A,male,EX,I,9,E01,33.794921875,0.0,0.0,0.0
2,0.0,0,23390,1.046875,0.267578125,4.0,2,5,4,547.358764648438,555.911376953125,0,1,objects,small,0,1,faces,A,male,EX,I,9,E01,33.794921875,0.0,0.0,0.0
0,0.0,0,23398,3.01171875,0.208984375,9.0,10,62,12,1154.94763183594,840.348327636719,0,1,objects,small,0,1,faces,A,male,EX,I,9,E01,33.794921875,0.0,0.0,0.0
0,0.0,0,23401,3.9140625,0.443359375,12.0,9,59,15,1168.58984375,539.584289550781,0,1,objects,big,0,1,faces,A,male,EX,I,9,E01,33.794921875,0.0,0.0,0.0
0,0.0,0,23551,0.63671875,0.408203125,2.0,8,33,2,857.180236816406,623.450317382812,0,1,objects,big,0,1,objects,A,small,EX,O,15,E01,58.990234375,0.0,0.0,0.0
0,0.0,0,23552,1.0859375,0.28125,3.0,9,42,3,952.293090820312,631.776977539062,0,1,objects,small,0,1,objects,A,small,EX,O,15,E01,58.990234375,0.0,0.0,0.0
