refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency,hard_easy
0,1.0,1,23232,1.240234375,0.119140625,3.0,1.0,13,66,6,1257.83056640625,296.270446777344,0,1,objects,small,1,1,objects,P,big,VS,O,2,E01,4.400390625,1
0,1.0,0,23278,0.9375,0.125,3.0,1.0,10,56,4,1159.45556640625,191.059768676758,0,1,objects,small,1,1,objects,P,small,VS,O,4,E01,12.798828125,1
0,1.0,1,23279,1.109375,0.162109375,4.0,1.0,8,47,5,1093.4130859375,274.922119140625,0,1,objects,big,1,1,objects,P,small,VS,O,4,E01,12.798828125,1
0,1.0,0,23583,0.53125,0.130859375,2.0,1.0,5,19,2,727.278015136719,161.494171142578,0,1,objects,big,1,1,faces,P,female,VS,F,16,E01,63.189453125,0
0,1.0,0,23634,1.7578125,0.1484375,5.0,0.0,6,24,8,803.429565429688,608.787231445312,0,1,objects,big,1,1,faces,P,female,VS,F,18,E01,71.587890625,0
0,1.0,0,23709,1.453125,0.134765625,5.0,0.0,9,40,6,950.002746582031,426.230041503906,0,1,objects,small,1,1,objects,P,small,VS,O,21,E01,84.185546875,1
0,1.0,0,23818,2.95703125,0.123046875,9.0,0.0,7,52,15,1057.81115722656,770.4609375,0,1,objects,big,1,1,faces,P,female,VS,F,25,E01,100.982421875,0
0,1.0,0,23937,1.2421875,0.125,5.0,0.0,14,75,6,1392.00866699219,378.409729003906,0,1,objects,big,1,1,faces,P,male,VS,I,29,E01,117.779296875,0
0,1.0,0,23939,1.6171875,0.19921875,7.0,0.0,3,22,8,791.37841796875,451.220367431641,0,1,objects,small,1,1,faces,P,male,VS,I,29,E01,117.779296875,0
0,1.0,0,23940,1.861328125,0.138671875,8.0,0.0,4,32,9,879.199462890625,544.513061523438,0,1,objects,small,1,1,faces,P,male,VS,I,29,E01,117.779296875,0
0,1.0,0,23944,2.9453125,0.13671875,12.0,0.0,12,70,13,1261.6552734375,735.941467285156,0,1,objects,big,1,1,faces,P,male,VS,I,29,E01,117.779296875,0
0,1.0,0,23945,3.134765625,0.140625,13.0,0.0,11,68,14,1262.39538574219,555.264465332031,0,1,objects,big,1,1,faces,P,male,VS,I,29,E01,117.779296875,0
0,1.0,0,24012,0.658203125,0.205078125,2.0,1.0,11,65,4,1310.43896484375,281.281890869141,0,1,objects,small,1,1,objects,P,small,VS,O,32,E01,130.376953125,1
0,1.0,0,24303,1.11328125,0.162109375,4.0,1.0,4,22,5,747.702209472656,447.280364990234,0,1,objects,small,1,1,objects,P,big,VS,O,44,E01,180.767578125,1
0,1.0,0,24431,2.205078125,0.1875,4.0,1.0,8,34,7,861.879821777344,733.322326660156,0,1,objects,big,1,1,faces,P,male,VS,F,49,E01,201.763671875,0
0,1.0,0,24577,0.5390625,0.36328125,2.0,1.0,13,56,2,1177.07690429688,244.857757568359,0,1,objects,small,1,1,objects,P,small,VS,O,55,E01,226.958984375,1
0,1.0,0,24600,1.353515625,0.224609375,3.0,1.0,7,42,4,999.66650390625,628.956787109375,0,1,objects,small,1,1,objects,P,big,VS,O,56,E01,231.158203125,1
0,1.0,0,24601,1.625,0.171875,4.0,1.0,11,60,5,1178.12170410156,627.736511230469,0,1,objects,big,1,1,objects,P,big,VS,O,56,E01,231.158203125,1
0,1.0,0,24602,1.873046875,0.267578125,5.0,0.0,2,15,6,624.904479980469,657.756713867188,0,1,objects,small,1,1,objects,P,big,VS,O,56,E01,231.158203125,1
0,1.0,0,24603,2.23046875,0.22265625,6.0,0.0,8,52,7,1099.73718261719,760.257995605469,0,1,objects,small,1,1,objects,P,big,VS,O,56,E01,231.158203125,1
0,1.0,0,24887,1.38671875,0.23046875,3.0,1.0,3,23,5,737.35498046875,516.80224609375,0,1,objects,small,1,1,faces,P,male,VS,F,67,E01,277.349609375,0
0,1.0,0,24888,1.673828125,0.1328125,4.0,1.0,7,50,6,1032.78125,525.287109375,0,1,objects,big,1,1,faces,P,male,VS,F,67,E01,277.349609375,0
0,1.0,0,25324,1.462890625,0.24609375,5.0,0.0,4,12,6,644.184814453125,345.332092285156,0,1,objects,small,1,1,faces,P,female,VS,F,76,E01,315.142578125,0
0,1.0,0,26032,0.8125,0.134765625,3.0,1.0,1,1,3,578.214111328125,154.82666015625,0,1,objects,big,1,1,faces,P,female,VS,I,102,E01,424.322265625,0
0,1.0,0,26034,1.318359375,0.275390625,5.0,0.0,5,21,5,803.272827148438,360.571228027344,0,1,objects,big,1,1,faces,P,female,VS,I,102,E01,424.322265625,0
0,1.0,0,26037,2.078125,0.18359375,6.0,0.0,13,61,8,1163.60632324219,741.0703125,0,1,objects,small,1,1,faces,P,female,VS,I,102,E01,424.322265625,0
