refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency
0,1,0,22649,0.271484375,0.232421875,1,1,8,29,2,866.586791992188,244.71044921875,0,1,objects,big,0,1,faces,A,female,VS,I,1,E08,0.201171875
0,1,0,22650,0.5625,0.28515625,2,1,10,37,3,982.254150390625,123.850891113281,0,1,faces,female,0,1,faces,A,female,VS,I,1,E08,0.201171875
0,1,1,22651,0.884765625,0.35546875,3,1,12,46,4,1060.81774902344,147.132202148438,0,1,faces,female,0,1,faces,A,female,VS,I,1,E08,0.201171875
0,1,1,22653,1.3984375,0.1328125,4,1,1,1,6,530.461547851562,89.8000640869141,0,1,objects,small,0,1,faces,A,female,VS,I,1,E08,0.201171875
0,1,0,22655,1.76171875,0.15234375,5,0,2,4,8,562.200134277344,470.272674560547,0,1,objects,small,0,1,faces,A,female,VS,I,1,E08,0.201171875
0,1,0,22656,1.962890625,0.10546875,6,0,4,13,9,627.092834472656,468.066070556641,0,1,objects,big,0,1,faces,A,female,VS,I,1,E08,0.201171875
1,1,1,22657,2.126953125,0.17578125,7,0,3,6,10,599.502807617188,621.082885742188,0,1,faces,male,0,1,faces,A,female,VS,I,1,E08,0.201171875
0,1,0,22660,2.708984375,0.236328125,8,0,9,33,13,849.278259277344,646.640197753906,0,1,faces,female,0,1,faces,A,female,VS,I,1,E08,0.201171875
0,1,0,22661,3.015625,0.185546875,9,0,13,52,14,1079.92456054688,743.654357910156,0,1,faces,male,0,1,faces,A,female,VS,I,1,E08,0.201171875
0,1,0,22663,3.421875,0.1875,10,0,15,80,16,1380.19445800781,844.477478027344,0,1,objects,big,0,1,faces,A,female,VS,I,1,E08,0.201171875
0,1,0,22664,3.69921875,0.12109375,11,0,7,17,17,612.70703125,870.473327636719,0,1,faces,male,0,1,faces,A,female,VS,I,1,E08,0.201171875
2,1,0,22665,3.8828125,0.41015625,12,0,3,6,18,536.628356933594,659.497924804688,0,1,faces,male,0,1,faces,A,female,VS,I,1,E08,0.201171875
0,1,0,22681,0.255859375,0.13671875,1,1,6,42,2,949.232604980469,611.204956054688,0,1,faces,female,1,1,objects,P,big,VS,O,2,E08,4.400390625
0,1,1,22686,1.236328125,0.11328125,2,1,2,10,7,611.143676757812,90.9015197753906,0,1,faces,male,1,1,objects,P,big,VS,O,2,E08,4.400390625
0,1,0,22688,1.53515625,0.154296875,3,1,8,47,9,1108.53930664062,202.704879760742,0,1,faces,male,1,1,objects,P,big,VS,O,2,E08,4.400390625
0,1,0,22689,1.75390625,0.119140625,4,1,4,39,10,960.906127929688,364.452301025391,0,1,faces,female,1,1,objects,P,big,VS,O,2,E08,4.400390625
0,0,1,22690,1.9296875,0.341796875,5,0,11,58,11,1153.02941894531,443.69482421875,1,0,NaN,NaN,1,1,objects,P,big,VS,O,2,E08,4.400390625
0,0,0,22693,3.359375,0.220703125,6,0,5,41,14,951.666076660156,537.451171875,0,1,faces,male,1,1,objects,P,big,VS,O,2,E08,4.400390625
0,0,0,22695,3.8359375,0.109375,7,0,7,43,16,971.671936035156,733.893432617188,0,1,faces,female,1,1,objects,P,big,VS,O,2,E08,4.400390625
0,1,0,22710,0.3515625,0.107421875,1,1,9,40,2,936.55810546875,400.447509765625,0,1,faces,male,0,1,faces,A,female,EX,F,3,E08,8.599609375
0,1,1,22711,0.52734375,0.1171875,2,1,3,10,3,699.159790039062,142.654602050781,0,1,faces,male,0,1,faces,A,female,EX,F,3,E08,8.599609375
0,1,0,22713,0.873046875,0.28515625,3,1,7,28,5,870.911315917969,110.153594970703,0,1,faces,female,0,1,faces,A,female,EX,F,3,E08,8.599609375
0,1,0,22715,1.416015625,0.345703125,4,1,13,74,7,1381.39404296875,239.804779052734,0,1,faces,female,0,1,faces,A,female,EX,F,3,E08,8.599609375
