refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency
0,1,0,17148,0.3359375,0.9140625,1,1,8,40,1,946.32861328125,432.369110107422,0,1,faces,male,1,0,faces,P,male,VS,I,1,J08,0.201171875
1,1,0,17150,1.529296875,0.267578125,2,1,2,5,3,555.281494140625,565.507019042969,0,1,faces,female,1,0,faces,P,male,VS,I,1,J08,0.201171875
2,1,1,17152,2.021484375,0.13671875,3,1,2,5,5,531.170959472656,575.762268066406,0,1,faces,female,1,0,faces,P,male,VS,I,1,J08,0.201171875
0,0,0,17154,3.4609375,0.296875,4,1,3,17,7,609.602600097656,852.596923828125,1,0,NaN,NaN,1,0,faces,P,male,VS,I,1,J08,0.201171875
3,0,0,17156,3.97265625,0.42578125,5,0,2,5,9,544.302185058594,568.732727050781,0,1,faces,female,1,0,faces,P,male,VS,I,1,J08,0.201171875
0,1,0,17167,0.232421875,0.173828125,1,1,1,3,1,557.776977539062,344.957550048828,0,1,objects,small,1,0,faces,P,female,VS,F,2,J08,4.400390625
0,1,0,17170,0.740234375,0.20703125,2,1,4,29,4,845.426452636719,232.322799682617,0,1,faces,female,1,0,faces,P,female,VS,F,2,J08,4.400390625
1,1,0,17172,1.169921875,0.224609375,3,1,10,56,6,1185.27416992188,240.601379394531,0,1,faces,male,1,0,faces,P,female,VS,F,2,J08,4.400390625
0,1,0,17174,1.513671875,0.146484375,4,1,11,64,8,1266.60546875,154.126098632812,0,1,objects,small,1,0,faces,P,female,VS,F,2,J08,4.400390625
2,1,0,17175,1.67578125,0.263671875,5,0,10,56,9,1164.76550292969,253.485824584961,0,1,faces,male,1,0,faces,P,female,VS,F,2,J08,4.400390625
0,1,0,17176,1.970703125,0.228515625,6,0,8,48,10,1051.37158203125,352.163726806641,0,1,faces,female,1,0,faces,P,female,VS,F,2,J08,4.400390625
1,1,0,17178,2.431640625,0.185546875,7,0,14,72,12,1255.51220703125,942.467956542969,0,1,faces,male,1,0,faces,P,female,VS,F,2,J08,4.400390625
0,1,0,17179,2.6328125,0.353515625,8,0,15,81,13,1353.07446289062,960.899536132812,0,1,faces,female,1,0,faces,P,female,VS,F,2,J08,4.400390625
2,1,0,17180,3.015625,0.23828125,9,0,14,72,14,1233.41809082031,953.177001953125,0,1,faces,male,1,0,faces,P,female,VS,F,2,J08,4.400390625
0,0,0,17182,3.482421875,2.16796875,10,0,3,26,16,722.011596679688,849.98974609375,1,0,NaN,NaN,1,0,faces,P,female,VS,F,2,J08,4.400390625
0,1,0,17189,0.240234375,0.373046875,1,1,4,31,1,876.067504882812,449.163726806641,0,1,faces,male,0,1,faces,A,female,VS,I,3,J08,8.599609375
0,1,0,17190,0.65234375,0.224609375,2,1,9,56,2,1192.96179199219,284.183502197266,0,1,objects,small,0,1,faces,A,female,VS,I,3,J08,8.599609375
0,1,0,17191,0.947265625,0.345703125,3,1,12,73,3,1317.65478515625,169.607635498047,0,1,faces,male,0,1,faces,A,female,VS,I,3,J08,8.599609375
0,1,0,17192,1.341796875,0.33984375,4,1,14,79,4,1335.68627929688,783.751708984375,0,1,faces,male,0,1,faces,A,female,VS,I,3,J08,8.599609375
1,1,0,17194,1.900390625,0.611328125,5,0,5,35,6,840.925598144531,830.535217285156,0,1,faces,female,0,1,faces,A,female,VS,I,3,J08,8.599609375
0,1,0,17195,2.54296875,0.326171875,6,0,3,16,7,613.751037597656,764.543151855469,0,1,faces,female,0,1,faces,A,female,VS,I,3,J08,8.599609375
2,1,0,17197,3.369140625,1.09765625,7,0,5,35,9,838.475952148438,840.776672363281,0,1,faces,female,0,1,faces,A,female,VS,I,3,J08,8.599609375
0,1,0,17204,0.19921875,0.1796875,1,1,9,42,1,914.296813964844,609.698791503906,0,1,objects,small,1,0,objects,P,small,VS,O,4,J08,12.798828125
0,1,0,17205,0.412109375,0.298828125,2,1,5,30,2,879.143920898438,320.190002441406,0,1,faces,female,1,0,objects,P,small,VS,O,4,J08,12.798828125
0,1,0,17206,0.76953125,0.1640625,3,1,4,25,3,742.458190917969,742.50048828125,0,1,faces,female,1,0,objects,P,small,VS,O,4,J08,12.798828125
0,1,0,17207,0.95703125,0.212890625,4,1,7,36,4,904.745544433594,951.587707519531,0,1,faces,female,1,0,objects,P,small,VS,O,4,J08,12.798828125
1,0,0,17208,1.1796875,0.5546875,5,0,10,45,5,933.692138671875,919.950744628906,1,0,NaN,NaN,1,0,objects,P,small,VS,O,4,J08,12.798828125
0,0,0,17210,2.654296875,0.267578125,6,0,15,81,7,1330.80456542969,927.294799804688,0,1,faces,female,1,0,objects,P,small,VS,O,4,J08,12.798828125
2,0,1,17211,2.986328125,0.193359375,7,0,10,45,8,970.654357910156,907.127136230469,1,0,NaN,NaN,1,0,objects,P,small,VS,O,4,J08,12.798828125
0,1,0,17223,0.42578125,0.16796875,1,1,7,30,2,859.362731933594,339.136901855469,0,1,faces,female,1,0,faces,P,male,VS,F,5,J08,16.998046875
0,1,0,17224,0.619140625,0.19140625,2,1,12,57,3,1134.77575683594,363.250946044922,0,1,objects,big,1,0,faces,P,male,VS,F,5,J08,16.998046875
0,1,0,17225,0.873046875,0.154296875,3,1,5,22,4,767.680297851562,450.490020751953,1,0,NaN,NaN,1,0,faces,P,male,VS,F,5,J08,16.998046875
0,1,0,17226,1.046875,0.173828125,4,1,4,21,5,800.106201171875,311.672637939453,0,1,objects,big,1,0,faces,P,male,VS,F,5,J08,16.998046875
0,1,0,17234,0.216796875,0.2421875,1,1,11,69,1,1277.31701660156,647.039794921875,0,1,objects,small,1,0,faces,P,male,VS,I,6,J08,21.197265625
0,0,0,17235,0.474609375,0.322265625,2,1,15,79,2,1352.22668457031,703.54296875,1,0,NaN,NaN,1,0,faces,P,male,VS,I,6,J08,21.197265625
0,0,0,17236,0.8125,0.162109375,3,1,14,78,3,1353.39172363281,610.247375488281,0,1,faces,male,1,0,faces,P,male,VS,I,6,J08,21.197265625
0,0,0,17239,1.322265625,0.216796875,4,1,5,37,6,972.624877929688,134.725311279297,0,1,faces,female,1,0,faces,P,male,VS,I,6,J08,21.197265625
0,0,0,17241,1.7265625,0.19921875,5,0,1,4,8,550.463623046875,471.806884765625,0,1,faces,male,1,0,faces,P,male,VS,I,6,J08,21.197265625
1,0,0,17243,2.14453125,0.189453125,6,0,3,16,10,620.627319335938,755.787292480469,0,1,faces,male,1,0,faces,P,male,VS,I,6,J08,21.197265625
0,0,0,17244,2.353515625,0.677734375,7,0,2,6,11,550.897583007812,680.910278320312,0,1,faces,female,1,0,faces,P,male,VS,I,6,J08,21.197265625
2,0,0,17245,3.05078125,0.283203125,8,0,3,16,12,660.0498046875,763.202514648438,0,1,faces,male,1,0,faces,P,male,VS,I,6,J08,21.197265625
0,0,0,17246,3.396484375,0.208984375,9,0,7,54,13,1015.71160888672,917.020324707031,0,1,objects,big,1,0,faces,P,male,VS,I,6,J08,21.197265625
0,0,0,17247,3.625,0.29296875,10,0,12,71,14,1268.27856445312,835.325805664062,0,1,objects,big,1,0,faces,P,male,VS,I,6,J08,21.197265625
0,1,0,17258,0.634765625,0.318359375,1,1,1,8,3,518.377014160156,862.536804199219,0,1,objects,small,0,0,faces,A,female,EX,I,7,J08,25.396484375
1,1,0,17260,1.171875,0.228515625,2,1,8,30,5,847.299255371094,307.102661132812,0,1,faces,female,0,0,faces,A,female,EX,I,7,J08,25.396484375
0,1,0,17261,1.42578125,0.291015625,3,1,4,19,6,752.973327636719,127.192588806152,0,1,faces,male,0,0,faces,A,female,EX,I,7,J08,25.396484375
0,1,0,17262,1.732421875,0.22265625,4,1,7,28,7,848.225280761719,117.482353210449,0,1,faces,male,0,0,faces,A,female,EX,I,7,J08,25.396484375
1,1,0,17263,1.990234375,0.298828125,5,0,13,55,8,1191.75610351562,157.565826416016,0,1,faces,female,0,0,faces,A,female,EX,I,7,J08,25.396484375
0,1,0,17264,2.30859375,0.216796875,6,0,15,74,9,1331.76025390625,192.00666809082,0,1,faces,male,0,0,faces,A,female,EX,I,7,J08,25.396484375
2,1,0,17265,2.546875,0.458984375,7,0,13,55,10,1123.48327636719,156.498245239258,0,1,faces,female,0,0,faces,A,female,EX,I,7,J08,25.396484375
2,1,0,17266,3.03125,0.296875,8,0,8,30,11,839.002197265625,376.835632324219,0,1,faces,female,0,0,faces,A,female,EX,I,7,J08,25.396484375
0,1,0,17267,3.384765625,0.25,9,0,3,13,12,635.982299804688,460.525299072266,0,1,faces,female,0,0,faces,A,female,EX,I,7,J08,25.396484375
0,1,0,17268,3.650390625,0.2890625,10,0,5,23,13,741.422485351562,535.627014160156,0,1,objects,big,0,0,faces,A,female,EX,I,7,J08,25.396484375
0,1,0,17269,3.95703125,0.47265625,11,0,9,31,14,875.437377929688,407.639770507812,0,1,objects,small,0,0,faces,A,female,EX,I,7,J08,25.396484375
1,1,0,17278,0.3984375,0.173828125,1,1,10,38,2,922.747802734375,240.149841308594,0,1,faces,male,0,0,faces,A,female,EX,F,8,J08,29.595703125
0,1,0,17279,0.60546875,0.21484375,2,1,8,31,3,836.359924316406,419.642517089844,0,1,objects,big,0,0,faces,A,female,EX,F,8,J08,29.595703125
2,1,0,17280,0.841796875,0.2734375,3,1,10,38,4,956.895446777344,236.063919067383,0,1,faces,male,0,0,faces,A,female,EX,F,8,J08,29.595703125
0,1,0,17281,1.15625,0.267578125,4,1,15,76,5,1326.11315917969,458.873077392578,0,1,objects,small,0,0,faces,A,female,EX,F,8,J08,29.595703125
0,1,0,17282,1.435546875,0.470703125,5,0,13,67,6,1252.70874023438,448.797027587891,0,1,faces,female,0,0,faces,A,female,EX,F,8,J08,29.595703125
