refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency,Nrank,N_subj_rank,NC_subj_rank,NC_rank,VSNT_EX,isEX
0,1,0,26549,0.966796875,0.349609375,2,1,3,13,3,644.395690917969,424.436370849609,0,1,faces,female,0,1,faces,A,female,EX,I,6,J04,21.197265625,0.0,0.0,-0.5,-0.5,0,1
0,1,0,26550,1.328125,0.28125,3,1,2,12,4,660.0380859375,342.228302001953,0,1,faces,female,0,1,faces,A,female,EX,I,6,J04,21.197265625,0.2,0.09090909090909091,-0.40909090909090906,-0.3,0,1
0,1,0,26552,1.818359375,0.337890625,4,1,11,52,6,1062.7666015625,770.521118164062,0,1,faces,female,0,1,faces,A,female,EX,I,6,J04,21.197265625,0.4,0.18181818181818182,-0.3181818181818182,-0.09999999999999998,0,1
0,1,0,26554,2.33203125,0.48046875,5,0,9,36,8,852.362121582031,917.263244628906,0,1,objects,big,0,1,faces,A,female,EX,I,6,J04,21.197265625,0.6,0.2727272727272727,-0.2272727272727273,0.09999999999999998,0,1
0,1,0,26555,2.826171875,0.5546875,6,0,7,26,9,745.700256347656,797.430908203125,0,1,faces,male,0,1,faces,A,female,EX,I,6,J04,21.197265625,0.8,0.36363636363636365,-0.13636363636363635,0.30000000000000004,0,1
0,1,0,26556,3.42578125,0.140625,7,0,14,69,10,1288.99365234375,687.954162597656,0,1,faces,male,0,1,faces,A,female,EX,I,6,J04,21.197265625,1.0,0.45454545454545453,-0.04545454545454547,0.5,0,1
0,1,0,26671,1.0,0.205078125,2,1,1,2,5,540.503662109375,237.92350769043,0,1,faces,male,0,1,faces,A,female,VS,F,12,J04,46.392578125,0.0,0.0,-0.5,-0.5,1,0
1,1,0,26672,1.25,0.162109375,3,1,9,51,6,1033.08471679688,620.148132324219,0,1,faces,male,0,1,faces,A,female,VS,F,12,J04,46.392578125,0.16666666666666666,0.09090909090909091,-0.40909090909090906,-0.33333333333333337,1,0
0,1,1,26676,1.9453125,0.28125,5,0,4,8,10,550.314208984375,822.862243652344,0,1,faces,female,0,1,faces,A,female,VS,F,12,J04,46.392578125,0.5,0.2727272727272727,-0.2272727272727273,0.0,1,0
0,1,0,26678,2.3203125,0.33984375,6,0,5,9,12,550.272155761719,978.783020019531,0,1,faces,female,0,1,faces,A,female,VS,F,12,J04,46.392578125,0.6666666666666666,0.36363636363636365,-0.13636363636363635,0.16666666666666663,1,0
0,1,1,26683,3.31640625,0.1640625,7,0,11,58,17,1182.78247070312,411.052124023438,0,1,faces,male,0,1,faces,A,female,VS,F,12,J04,46.392578125,0.8333333333333334,0.45454545454545453,-0.04545454545454547,0.33333333333333337,1,0
0,1,0,26685,3.845703125,0.533203125,8,0,7,19,19,738.485412597656,181.653564453125,0,1,objects,big,0,1,faces,A,female,VS,F,12,J04,46.392578125,1.0,0.5454545454545454,0.045454545454545414,0.5,1,0
0,1,1,26722,1.482421875,0.119140625,2,1,14,71,7,1215.3701171875,804.579650878906,0,1,objects,big,0,1,faces,A,male,VS,F,14,J04,54.791015625,0.0,0.0,-0.5,-0.5,1,0
0,1,0,26724,1.748046875,0.166015625,3,1,11,53,9,1044.97192382812,810.520141601562,0,1,faces,male,0,1,faces,A,male,VS,F,14,J04,54.791015625,0.16666666666666666,0.09090909090909091,-0.40909090909090906,-0.33333333333333337,1,0
1,1,0,26726,2.150390625,0.1875,4,1,4,10,11,667.408203125,168.522476196289,0,1,faces,male,0,1,faces,A,male,VS,F,14,J04,54.791015625,0.3333333333333333,0.18181818181818182,-0.3181818181818182,-0.16666666666666669,1,0
0,1,1,26727,2.3515625,0.15234375,5,0,5,19,12,732.668823242188,160.99755859375,0,1,faces,female,0,1,faces,A,male,VS,F,14,J04,54.791015625,0.5,0.2727272727272727,-0.2272727272727273,0.0,1,0
0,1,0,26729,2.8125,0.208984375,6,0,2,3,14,597.413452148438,358.668579101562,0,1,faces,male,0,1,faces,A,male,VS,F,14,J04,54.791015625,0.6666666666666666,0.36363636363636365,-0.13636363636363635,0.16666666666666663,1,0
0,1,0,26731,3.47265625,0.154296875,8,0,15,75,16,1403.18969726562,300.344299316406,0,1,faces,male,0,1,faces,A,male,VS,F,14,J04,54.791015625,1.0,0.5454545454545454,0.045454545454545414,0.5,1,0
0,1,0,26777,0.640625,0.447265625,2,1,4,13,3,648.007385253906,436.418609619141,0,1,faces,female,0,1,faces,A,male,VS,I,17,J04,67.388671875,0.0,0.0,-0.5,-0.5,1,0
0,1,0,26779,1.326171875,0.248046875,3,1,5,29,5,845.794250488281,221.405822753906,0,1,faces,male,0,1,faces,A,male,VS,I,17,J04,67.388671875,0.16666666666666666,0.09090909090909091,-0.40909090909090906,-0.33333333333333337,1,0
0,1,0,26780,1.595703125,0.203125,4,1,9,37,6,955.929260253906,131.391326904297,0,1,faces,male,0,1,faces,A,male,VS,I,17,J04,67.388671875,0.3333333333333333,0.18181818181818182,-0.3181818181818182,-0.16666666666666669,1,0
1,1,0,26781,1.82421875,0.171875,5,0,12,65,7,1269.72143554688,255.826721191406,0,1,faces,female,0,1,faces,A,male,VS,I,17,J04,67.388671875,0.5,0.2727272727272727,-0.2272727272727273,0.0,1,0
0,1,0,26782,2.0078125,0.37890625,6,0,13,66,8,1248.12939453125,313.242279052734,0,1,faces,female,0,1,faces,A,male,VS,I,17,J04,67.388671875,0.6666666666666666,0.36363636363636365,-0.13636363636363635,0.16666666666666663,1,0
0,1,1,26785,2.76953125,0.1640625,8,0,10,61,11,1175.66040039062,783.809692382812,0,1,objects,small,0,1,faces,A,male,VS,I,17,J04,67.388671875,1.0,0.5454545454545454,0.045454545454545414,0.5,1,0
0,1,0,26830,0.59375,0.279296875,2,1,6,29,3,877.452087402344,273.739776611328,0,1,objects,small,0,1,objects,A,big,VS,O,20,J04,79.986328125,0.0,0.0,-0.5,-0.5,1,0
1,1,0,26831,0.9140625,0.216796875,3,1,13,64,4,1237.51354980469,129.933609008789,0,1,objects,big,0,1,objects,A,big,VS,O,20,J04,79.986328125,0.16666666666666666,0.09090909090909091,-0.40909090909090906,-0.33333333333333337,1,0
1,1,0,26832,1.14453125,0.33203125,4,1,10,55,5,1155.88415527344,118.721138000488,0,1,objects,small,0,1,objects,A,big,VS,O,20,J04,79.986328125,0.3333333333333333,0.18181818181818182,-0.3181818181818182,-0.16666666666666669,1,0
0,1,0,26843,3.533203125,0.201171875,8,0,2,14,16,631.661437988281,540.40087890625,0,1,objects,big,0,1,objects,A,big,VS,O,20,J04,79.986328125,1.0,0.5454545454545454,0.045454545454545414,0.5,1,0
0,1,0,26877,2.296875,0.13671875,2,1,15,74,6,1369.95642089844,227.774429321289,0,1,faces,male,0,1,faces,A,female,VS,I,22,J04,88.384765625,0.0,0.0,-0.5,-0.5,1,0
0,1,0,26878,2.470703125,0.224609375,3,1,5,28,7,872.974975585938,138.819259643555,0,1,faces,male,0,1,faces,A,female,VS,I,22,J04,88.384765625,0.2,0.09090909090909091,-0.40909090909090906,-0.3,1,0
0,1,0,26879,2.7109375,0.28125,4,1,3,19,8,765.296142578125,135.416290283203,0,1,faces,female,0,1,faces,A,female,VS,I,22,J04,88.384765625,0.4,0.18181818181818182,-0.3181818181818182,-0.09999999999999998,1,0
0,1,0,26880,3.01953125,0.376953125,5,0,2,14,9,648.787902832031,558.400695800781,0,1,faces,male,0,1,faces,A,female,VS,I,22,J04,88.384765625,0.6,0.2727272727272727,-0.2272727272727273,0.09999999999999998,1,0
0,1,0,26882,3.9140625,0.244140625,7,0,1,9,11,590.392456054688,919.463134765625,0,1,objects,big,0,1,faces,A,female,VS,I,22,J04,88.384765625,1.0,0.45454545454545453,-0.04545454545454547,0.5,1,0
1,1,0,26891,0.4375,0.181640625,2,1,5,32,2,842.767639160156,590.366455078125,0,1,objects,big,0,1,objects,A,small,VS,O,23,J04,92.583984375,0.0,0.0,-0.5,-0.5,1,0
1,1,0,26892,0.640625,0.142578125,3,1,2,17,3,631.627136230469,823.43896484375,0,1,objects,small,0,1,objects,A,small,VS,O,23,J04,92.583984375,0.2,0.09090909090909091,-0.40909090909090906,-0.3,1,0
1,1,0,26893,1.4921875,0.197265625,4,1,11,55,4,1165.16540527344,153.379501342773,0,1,faces,female,0,1,objects,A,small,VS,O,23,J04,92.583984375,0.4,0.18181818181818182,-0.3181818181818182,-0.09999999999999998,1,0
1,1,0,26894,1.701171875,0.212890625,5,0,9,46,5,1072.70373535156,158.003005981445,0,1,faces,female,0,1,objects,A,small,VS,O,23,J04,92.583984375,0.6,0.2727272727272727,-0.2272727272727273,0.09999999999999998,1,0
0,1,0,26895,1.9296875,0.2578125,6,0,10,48,6,1070.62573242188,322.754852294922,0,1,faces,male,0,1,objects,A,small,VS,O,23,J04,92.583984375,0.8,0.36363636363636365,-0.13636363636363635,0.30000000000000004,1,0
0,1,0,26896,2.228515625,0.23046875,7,0,14,75,7,1394.75085449219,319.315734863281,0,1,faces,female,0,1,objects,A,small,VS,O,23,J04,92.583984375,1.0,0.45454545454545453,-0.04545454545454547,0.5,1,0
0,1,0,26922,0.998046875,0.365234375,2,1,1,6,5,556.401916503906,666.361938476562,0,1,faces,male,0,1,faces,A,male,EX,I,25,J04,100.982421875,0.0,0.0,-0.5,-0.5,0,1
0,1,0,26923,1.40234375,0.146484375,3,1,7,39,6,950.006896972656,331.984497070312,0,1,faces,male,0,1,faces,A,male,EX,I,25,J04,100.982421875,1.0,0.09090909090909091,-0.40909090909090906,0.5,0,1
0,1,0,27022,0.60546875,0.248046875,2,1,2,13,3,624.302001953125,478.665222167969,0,1,faces,male,0,1,faces,A,female,VS,F,30,J04,121.978515625,0.0,0.0,-0.5,-0.5,1,0
0,1,0,27023,0.888671875,0.32421875,3,1,4,18,4,641.406921386719,922.275024414062,0,1,faces,male,0,1,faces,A,female,VS,F,30,J04,121.978515625,0.2,0.09090909090909091,-0.40909090909090906,-0.3,1,0
0,1,0,27024,1.234375,0.240234375,4,1,3,16,5,636.593566894531,737.555358886719,0,1,faces,female,0,1,faces,A,female,VS,F,30,J04,121.978515625,0.4,0.18181818181818182,-0.3181818181818182,-0.09999999999999998,1,0
0,1,0,27025,1.529296875,0.576171875,5,0,10,59,6,1156.21337890625,577.280029296875,0,1,faces,female,0,1,faces,A,female,VS,F,30,J04,121.978515625,0.6,0.2727272727272727,-0.2272727272727273,0.09999999999999998,1,0
0,1,0,27030,2.83984375,0.234375,6,0,9,49,11,1018.83099365234,422.113555908203,0,1,objects,big,0,1,faces,A,female,VS,F,30,J04,121.978515625,0.8,0.36363636363636365,-0.13636363636363635,0.30000000000000004,1,0
0,1,0,27031,3.095703125,0.322265625,7,0,6,30,12,835.083740234375,345.645202636719,0,1,objects,small,0,1,faces,A,female,VS,F,30,J04,121.978515625,1.0,0.45454545454545453,-0.04545454545454547,0.5,1,0
