refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency,Nrank,N_subj_rank,NC_subj_rank,NC_rank,TS,VSNT_EX,isEX
0,1,0,26549,0.966796875,0.349609375,2,1,3,13,3,644.395690917969,424.436370849609,0,1,faces,female,0,1,faces,A,female,EX,I,6,J04,21.197265625,0.0,0.0,-0.5,-0.5,0.0,0.0,1.0
0,1,0,26550,1.328125,0.28125,3,1,2,12,4,660.0380859375,342.228302001953,0,1,faces,female,0,1,faces,A,female,EX,I,6,J04,21.197265625,0.2,0.125,-0.375,-0.3,0.0,0.0,1.0
0,1,0,26552,1.818359375,0.337890625,4,1,11,52,6,1062.7666015625,770.521118164062,0,1,faces,female,0,1,faces,A,female,EX,I,6,J04,21.197265625,0.4,0.25,-0.25,-0.09999999999999998,0.0,0.0,1.0
0,1,0,26554,2.33203125,0.48046875,5,0,9,36,8,852.362121582031,917.263244628906,0,1,objects,big,0,1,faces,A,female,EX,I,6,J04,21.197265625,0.6,0.375,-0.125,0.09999999999999998,0.0,0.0,1.0
0,1,0,26555,2.826171875,0.5546875,6,0,7,26,9,745.700256347656,797.430908203125,0,1,faces,male,0,1,faces,A,female,EX,I,6,J04,21.197265625,0.8,0.5,0.0,0.30000000000000004,0.0,0.0,1.0
0,1,0,26556,3.42578125,0.140625,7,0,14,69,10,1288.99365234375,687.954162597656,0,1,faces,male,0,1,faces,A,female,EX,I,6,J04,21.197265625,1.0,0.625,0.125,0.5,0.0,0.0,1.0
0,1,0,26606,0.5390625,0.154296875,2,1,5,22,3,750.587768554688,402.240081787109,0,1,faces,male,1,1,faces,P,female,VS,I,9,J04,33.794921875,0.0,0.0,-0.5,-0.5,1.0,1.0,0.0
0,1,1,26607,0.72265625,0.166015625,3,1,2,10,4,631.948791503906,157.901214599609,0,1,objects,small,1,1,faces,P,female,VS,I,9,J04,33.794921875,0.14285714285714285,0.125,-0.375,-0.35714285714285715,1.0,1.0,0.0
0,1,0,26609,1.09765625,0.150390625,4,1,13,66,6,1250.33618164062,322.36865234375,0,1,objects,small,1,1,faces,P,female,VS,I,9,J04,33.794921875,0.2857142857142857,0.25,-0.25,-0.2142857142857143,1.0,1.0,0.0
1,1,0,26611,1.435546875,0.154296875,5,0,1,8,8,593.251831054688,792.654968261719,0,1,faces,female,1,1,faces,P,female,VS,I,9,J04,33.794921875,0.42857142857142855,0.375,-0.125,-0.07142857142857145,1.0,1.0,0.0
0,1,1,26612,1.625,0.16015625,6,0,7,34,9,907.591674804688,715.251647949219,0,1,faces,female,1,1,faces,P,female,VS,I,9,J04,33.794921875,0.5714285714285714,0.5,0.0,0.0714285714285714,1.0,1.0,0.0
0,1,0,26742,0.85546875,0.134765625,3,1,1,3,5,554.853515625,331.941589355469,0,1,faces,female,1,1,faces,P,female,VS,F,15,J04,58.990234375,0.0,0.125,-0.375,-0.5,1.0,1.0,0.0
0,1,0,26758,0.353515625,0.25,2,1,2,22,2,712.396484375,436.486999511719,0,1,objects,big,1,1,objects,P,small,VS,O,16,J04,63.189453125,0.0,0.0,-0.5,-0.5,1.0,1.0,0.0
0,1,0,26761,1.00390625,0.232421875,4,1,13,56,5,1160.42077636719,237.20393371582,0,1,faces,female,1,1,objects,P,small,VS,O,16,J04,63.189453125,0.4,0.25,-0.25,-0.09999999999999998,1.0,1.0,0.0
0,1,0,26763,1.4453125,0.14453125,5,0,7,43,7,935.016235351562,787.525939941406,0,1,faces,male,1,1,objects,P,small,VS,O,16,J04,63.189453125,0.6,0.375,-0.125,0.09999999999999998,1.0,1.0,0.0
0,1,0,26796,0.5,0.22265625,2,1,1,2,3,585.359497070312,260.051544189453,0,1,objects,small,1,1,objects,P,small,VS,O,18,J04,71.587890625,0.0,0.0,-0.5,-0.5,1.0,1.0,0.0
0,1,0,26797,0.763671875,0.291015625,3,1,3,9,4,536.171875,966.695556640625,0,1,faces,female,1,1,objects,P,small,VS,O,18,J04,71.587890625,0.2,0.125,-0.375,-0.3,1.0,1.0,0.0
