refix,multifix,urevent,tonset,dur_added,rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency,NTO_NTF
1,1,20987,0.31640625,0.173828125,1.0,9,33,1,853.394592285156,664.492736816406,0,1,faces,female,0,0,faces,A,female,VS,I,1,E11,0.201171875,0
1,0,20989,0.92578125,0.18359375,2.0,5,14,3,612.501281738281,541.9912109375,0,1,faces,female,0,0,faces,A,female,VS,I,1,E11,0.201171875,0
0,0,20990,1.134765625,0.248046875,3.0,4,13,4,645.153442382812,476.493865966797,0,1,objects,big,0,0,faces,A,female,VS,I,1,E11,0.201171875,1
2,1,20991,1.412109375,0.197265625,4.0,5,14,5,651.787414550781,573.856994628906,0,1,faces,female,0,0,faces,A,female,VS,I,1,E11,0.201171875,0
0,1,20994,2.89453125,0.150390625,6.0,14,54,8,1037.60021972656,903.634948730469,0,1,faces,female,0,0,faces,A,female,VS,I,1,E11,0.201171875,0
2,0,20996,3.9296875,0.125,7.0,9,33,10,889.361938476562,678.611206054688,0,1,faces,female,0,0,faces,A,female,VS,I,1,E11,0.201171875,0
0,1,21006,1.447265625,0.130859375,2.0,1,5,2,528.756896972656,568.411437988281,0,1,objects,big,0,0,objects,P,big,VS,O,2,E11,4.400390625,1
0,0,21010,2.94921875,0.203125,4.0,6,42,6,1000.57366943359,670.282897949219,0,1,faces,female,0,0,objects,P,big,VS,O,2,E11,4.400390625,0
0,0,21012,3.345703125,0.244140625,6.0,4,39,8,974.677062988281,374.415344238281,0,1,faces,female,0,0,objects,P,big,VS,O,2,E11,4.400390625,0
0,0,21013,3.623046875,0.287109375,7.0,8,47,9,1067.28979492188,287.523742675781,0,1,faces,male,0,0,objects,P,big,VS,O,2,E11,4.400390625,0
0,0,21045,0.568359375,0.126953125,3.0,4,29,3,886.155883789062,286.228790283203,0,1,faces,male,1,0,objects,P,small,VS,O,4,E11,12.798828125,0
0,0,21046,0.73828125,0.208984375,4.0,11,57,4,1156.93615722656,296.252349853516,0,1,faces,female,1,0,objects,P,small,VS,O,4,E11,12.798828125,0
0,0,21084,0.328125,0.208984375,1.0,7,38,1,987.156127929688,259.4521484375,0,1,objects,small,1,0,faces,P,male,VS,I,6,E11,21.197265625,1
0,0,21085,0.5703125,0.19140625,2.0,9,48,2,1082.23107910156,349.944702148438,0,1,faces,male,1,0,faces,P,male,VS,I,6,E11,21.197265625,0
0,1,21087,1.171875,0.140625,4.0,13,67,4,1298.29309082031,478.031402587891,0,1,faces,female,1,0,faces,P,male,VS,I,6,E11,21.197265625,0
0,0,21090,1.79296875,0.1328125,6.0,11,53,7,1074.72644042969,802.441223144531,0,1,faces,male,1,0,faces,P,male,VS,I,6,E11,21.197265625,0
0,0,21091,1.9453125,0.140625,7.0,10,52,8,1078.56701660156,758.583740234375,0,1,faces,female,1,0,faces,P,male,VS,I,6,E11,21.197265625,0
0,0,21092,2.142578125,0.248046875,8.0,15,78,9,1388.0830078125,670.336486816406,0,1,faces,male,1,0,faces,P,male,VS,I,6,E11,21.197265625,0
0,0,21093,2.49609375,0.23828125,9.0,3,9,10,564.55322265625,896.895935058594,0,1,objects,big,1,0,faces,P,male,VS,I,6,E11,21.197265625,1
0,0,21095,2.85546875,0.25,10.0,4,17,12,657.8232421875,858.728820800781,0,1,objects,big,1,0,faces,P,male,VS,I,6,E11,21.197265625,1
0,0,21104,0.271484375,0.236328125,1.0,5,13,1,672.131408691406,483.443420410156,0,1,faces,female,1,1,objects,P,big,VS,O,7,E11,25.396484375,0
0,0,21105,0.55859375,0.166015625,2.0,10,60,2,1116.06225585938,679.699157714844,0,1,objects,small,1,1,objects,P,big,VS,O,7,E11,25.396484375,1
0,0,21109,1.283203125,0.794921875,5.0,11,70,6,1257.47912597656,769.027282714844,0,1,objects,big,1,1,objects,P,big,VS,O,7,E11,25.396484375,1
