refix,pretarget,multifix,urevent,tonset,dur_added,rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency,VSNT_EX,VSNT_EX_correct,VShard_EXobj_correct
0,1.0,1,23232,1.240234375,0.119140625,3.0,13,66,6,1257.83056640625,296.270446777344,0,1,objects,small,1,1,objects,P,big,VS,O,2,E01,4.400390625,1.0,1.0,1.0
1,0.0,0,23248,0.609375,0.14453125,1.0,4,12,2,636.475891113281,349.615234375,0,1,objects,big,0,1,faces,A,female,EX,F,3,E01,8.599609375,0.0,0.0,0.0
2,0.0,1,23251,1.435546875,0.171875,4.0,4,12,5,677.897827148438,356.753265380859,0,1,objects,big,0,1,faces,A,female,EX,F,3,E01,8.599609375,0.0,0.0,0.0
0,0.0,0,23253,1.8515625,0.126953125,5.0,1,4,7,540.394409179688,481.721649169922,0,1,objects,small,0,1,faces,A,female,EX,F,3,E01,8.599609375,0.0,0.0,0.0
0,0.0,0,23254,2.01953125,0.244140625,6.0,2,5,8,537.822387695312,560.971984863281,0,1,objects,small,0,1,faces,A,female,EX,F,3,E01,8.599609375,0.0,0.0,0.0
0,0.0,1,23259,3.314453125,0.169921875,10.0,12,69,13,1294.50366210938,644.347717285156,0,1,objects,small,0,1,faces,A,female,EX,F,3,E01,8.599609375,0.0,0.0,0.0
0,1.0,0,23275,0.21875,0.212890625,1.0,2,11,1,668.614685058594,283.595672607422,0,1,objects,small,1,1,objects,P,small,VS,O,4,E01,12.798828125,1.0,1.0,1.0
0,1.0,0,23278,0.9375,0.125,3.0,10,56,4,1159.45556640625,191.059768676758,0,1,objects,small,1,1,objects,P,small,VS,O,4,E01,12.798828125,1.0,1.0,1.0
0,1.0,1,23279,1.109375,0.162109375,4.0,8,47,5,1093.4130859375,274.922119140625,0,1,objects,big,1,1,objects,P,small,VS,O,4,E01,12.798828125,1.0,1.0,1.0
0,0.0,1,23296,0.47265625,0.263671875,2.0,3,19,2,739.864807128906,150.002990722656,0,1,objects,big,0,1,faces,A,male,EX,F,5,E01,16.998046875,0.0,0.0,0.0
0,0.0,0,23299,1.1640625,0.1796875,4.0,9,38,5,949.720092773438,260.298614501953,0,1,objects,small,0,1,faces,A,male,EX,F,5,E01,16.998046875,0.0,0.0,0.0
0,0.0,1,23304,2.4375,0.197265625,8.0,13,69,10,1264.61804199219,607.870300292969,0,1,objects,small,0,1,faces,A,male,EX,F,5,E01,16.998046875,0.0,0.0,0.0
0,0.0,0,23309,3.84375,0.158203125,11.0,15,75,15,1343.31774902344,346.220092773438,0,1,objects,big,0,1,faces,A,male,EX,F,5,E01,16.998046875,0.0,0.0,0.0
1,0.0,0,23387,0.3046875,0.111328125,1.0,2,5,1,586.916076660156,524.582580566406,0,1,objects,small,0,1,faces,A,male,EX,I,9,E01,33.794921875,0.0,0.0,0.0
2,0.0,0,23390,1.046875,0.267578125,4.0,2,5,4,547.358764648438,555.911376953125,0,1,objects,small,0,1,faces,A,male,EX,I,9,E01,33.794921875,0.0,0.0,0.0
0,0.0,0,23398,3.01171875,0.208984375,9.0,10,62,12,1154.94763183594,840.348327636719,0,1,objects,small,0,1,faces,A,male,EX,I,9,E01,33.794921875,0.0,0.0,0.0
0,0.0,0,23401,3.9140625,0.443359375,12.0,9,59,15,1168.58984375,539.584289550781,0,1,objects,big,0,1,faces,A,male,EX,I,9,E01,33.794921875,0.0,0.0,0.0
0,0.0,0,23551,0.63671875,0.408203125,2.0,8,33,2,857.180236816406,623.450317382812,0,1,objects,big,0,1,objects,A,small,EX,O,15,E01,58.990234375,0.0,0.0,0.0
0,0.0,0,23552,1.0859375,0.28125,3.0,9,42,3,952.293090820312,631.776977539062,0,1,objects,small,0,1,objects,A,small,EX,O,15,E01,58.990234375,0.0,0.0,0.0
0,0.0,1,23556,2.169921875,0.119140625,6.0,15,75,7,1320.6923828125,380.241516113281,0,1,objects,small,0,1,objects,A,small,EX,O,15,E01,58.990234375,0.0,0.0,0.0
0,0.0,0,23559,2.9765625,0.138671875,8.0,14,62,10,1164.76477050781,828.650451660156,0,1,objects,big,0,1,objects,A,small,EX,O,15,E01,58.990234375,0.0,0.0,0.0
0,1.0,0,23704,0.302734375,0.166015625,1.0,8,36,1,867.261962890625,937.483520507812,0,1,objects,big,1,1,objects,P,small,VS,O,21,E01,84.185546875,1.0,1.0,1.0
0,1.0,0,23709,1.453125,0.134765625,5.0,9,40,6,950.002746582031,426.230041503906,0,1,objects,small,1,1,objects,P,small,VS,O,21,E01,84.185546875,1.0,1.0,1.0
1,0.0,0,23724,0.314453125,0.19140625,1.0,8,31,2,869.343933105469,453.036041259766,0,1,objects,small,0,1,objects,A,big,EX,O,22,E01,88.384765625,0.0,0.0,0.0
0,0.0,0,23728,1.208984375,0.248046875,3.0,6,28,6,854.795043945312,180.576599121094,0,1,objects,big,0,1,objects,A,big,EX,O,22,E01,88.384765625,0.0,0.0,0.0
2,0.0,0,23732,2.15625,0.287109375,6.0,8,31,10,856.856628417969,485.690216064453,0,1,objects,small,0,1,objects,A,big,EX,O,22,E01,88.384765625,0.0,0.0,0.0
0,0.0,0,23735,3.001953125,0.263671875,9.0,5,17,13,613.903930664062,871.441162109375,0,1,objects,small,0,1,objects,A,big,EX,O,22,E01,88.384765625,0.0,0.0,0.0
0,0.0,0,23898,0.349609375,0.142578125,1.0,6,20,2,807.0390625,274.072875976562,0,1,objects,big,0,1,faces,A,female,EX,I,28,E01,113.580078125,0.0,0.0,0.0
0,0.0,1,23901,0.97265625,0.21484375,3.0,3,11,5,691.648498535156,249.458618164062,0,1,objects,small,0,1,faces,A,female,EX,I,28,E01,113.580078125,0.0,0.0,0.0
0,0.0,0,23906,1.982421875,0.263671875,6.0,12,59,10,1165.30078125,552.722412109375,0,1,objects,small,0,1,faces,A,female,EX,I,28,E01,113.580078125,0.0,0.0,0.0
0,0.0,0,23908,2.546875,0.14453125,8.0,13,70,12,1271.77001953125,783.527709960938,0,1,objects,small,0,1,faces,A,female,EX,I,28,E01,113.580078125,0.0,0.0,0.0
0,0.0,1,23909,2.73046875,0.353515625,9.0,14,71,13,1297.84509277344,832.489990234375,0,1,objects,big,0,1,faces,A,female,EX,I,28,E01,113.580078125,0.0,0.0,0.0
0,1.0,0,24012,0.658203125,0.205078125,2.0,11,65,4,1310.43896484375,281.281890869141,0,1,objects,small,1,1,objects,P,small,VS,O,32,E01,130.376953125,1.0,1.0,1.0
1,0.0,0,24128,1.177734375,0.177734375,4.0,9,47,5,1043.52478027344,215.816390991211,0,1,objects,big,0,1,objects,A,small,EX,O,37,E01,151.373046875,0.0,0.0,0.0
2,0.0,0,24130,1.583984375,0.30859375,6.0,9,47,7,1074.40441894531,254.002395629883,0,1,objects,big,0,1,objects,A,small,EX,O,37,E01,151.373046875,0.0,0.0,0.0
0,0.0,0,24133,2.443359375,0.1953125,8.0,5,24,10,756.03173828125,668.71142578125,0,1,objects,small,0,1,objects,A,small,EX,O,37,E01,151.373046875,0.0,0.0,0.0
0,0.0,0,24136,3.02734375,0.201171875,9.0,6,27,13,742.673950195312,968.25341796875,0,1,objects,small,0,1,objects,A,small,EX,O,37,E01,151.373046875,0.0,0.0,0.0
0,0.0,0,24137,3.275390625,0.21875,10.0,10,53,14,1078.38989257812,854.335144042969,0,1,objects,small,0,1,objects,A,small,EX,O,37,E01,151.373046875,0.0,0.0,0.0
0,0.0,0,24138,3.5234375,0.205078125,11.0,11,62,15,1162.21618652344,832.706604003906,0,1,objects,big,0,1,objects,A,small,EX,O,37,E01,151.373046875,0.0,0.0,0.0
0,0.0,0,24153,0.982421875,0.232421875,2.0,8,37,4,956.962829589844,166.157073974609,0,1,objects,small,0,1,faces,A,female,EX,F,38,E01,155.572265625,0.0,0.0,0.0
0,0.0,0,24154,1.28125,0.30078125,3.0,11,48,5,1078.69653320312,350.54736328125,0,1,objects,small,0,1,faces,A,female,EX,F,38,E01,155.572265625,0.0,0.0,0.0
0,0.0,1,24156,1.888671875,0.171875,4.0,15,77,7,1408.85412597656,542.827697753906,0,1,objects,small,0,1,faces,A,female,EX,F,38,E01,155.572265625,0.0,0.0,0.0
0,0.0,0,24161,2.951171875,0.3515625,6.0,9,43,12,962.6103515625,725.459045410156,0,1,objects,big,0,1,faces,A,female,EX,F,38,E01,155.572265625,0.0,0.0,0.0
